Customer_ID,Order_ID,Product_ID,Store_ID,Customer_Name,Age,Gender,Phone,Email,City,State,Pincode,Address,Product_Name,Category,Brand,Size,Color,Material,Order_Date,Quantity,Price_Per_Unit,Discount,Total_Price,GST,Payment_Method,Transaction_ID,Shipping_Provider,Shipping_Cost,Delivery_Status,Estimated_Delivery,Actual_Delivery,Store_City,Store_State,Return_Status,Review_Rating,Customer_Loyalty,Referred_By
28a61d38,7eeb8eab-1,P1871,S8,Bhanumati Krishnamurthy,54,Female,+916941700950,cbir@example.org,Varanasi,Maharashtra,447093,"93
Pal Path
Erode 781724",Salwar,Men,Biba,L,Blue,Linen,2024-12-29,5,3551.5,0.09,16159.33,807.97,Net Banking,5227f511-0f5,Delhivery,64.68,Delivered,2025-01-04,2025-01-06,Kumbakonam,Goa,Returned,3.6,Bronze,
e701a2c8,99dd210b-f,P5413,S1,Varenya Bhatia,49,Male,07683470072,tanishsarma@example.org,Srikakulam,Uttar Pradesh,241371,"84/350, Bhavsar Marg
Sikar-445509",Blouse,Men,Manyavar,XL,Green,Linen,2025-03-28,3,502.13,0.18,1235.24,61.76,Net Banking,ac660df8-6e2,Delhivery,30.35,Cancelled,2025-04-03,2025-04-02,Sasaram,Haryana,Returned,3.3,Silver,
fc600587,9048a03e-9,P4059,S3,Hamsini Banik,33,Female,4444803964,sai74@example.net,Thrissur,Telangana,834402,"H.No. 484
Kadakia Street, Mumbai-944998",Tunics,Men,FabIndia,XXL,Maroon,Linen,2024-09-13,1,4641.83,0.06,4363.32,218.17,Net Banking,91a8cca1-429,Ecom Express,60.0,Delivered,2024-09-18,2024-09-16,Alwar,Tripura,Returned,3.0,Platinum,
abc4630b,4666a720-4,P1664,S3,Fitan Bora,60,Female,01243598341,jparikh@example.com,Patiala,Mizoram,496447,"H.No. 25, Mahajan Nagar, Tirunelveli 968005",Shirts,Men,W,XXL,Blue,Rayon,2025-02-16,3,4424.46,0.08,12211.51,610.58,Cash on Delivery,8d98ff0b-5f5,India Post,58.23,Cancelled,2025-02-20,2025-02-18,Mysore,Himachal Pradesh,Returned,2.9,Gold,
bcc058d1,5f3c3575-7,P1515,S7,Jagdish Srinivasan,54,Other,3009351597,rgrewal@example.com,Pondicherry,Kerala,755950,"29/334, Dhillon Nagar
Aligarh-265142",Tunic,Women,Biba,XS,Yellow,Silk,2024-10-20,4,4355.64,0.06,16377.21,818.86,UPI,788e4a86-356,India Post,64.07,Pending,2024-10-23,2024-10-21,Bhusawal,Andhra Pradesh,Returned,1.7,Silver,
1ab3d060,7d09284b-9,P1817,S9,Upadhriti Soman,27,Male,06269617291,bobalati@example.com,Delhi,Manipur,429382,"24/32, Bora Circle, Ramgarh 769061",Jeggings,Kids,W,XS,White,Rayon,2025-02-26,4,4213.26,0.08,15504.8,775.24,Net Banking,d34f0b22-07b,Ecom Express,44.68,Delivered,2025-03-04,2025-03-05,Nangloi Jat,Madhya Pradesh,Returned,4.9,Gold,
f512a330,9d56db73-b,P7240,S1,Tejas Kohli,62,Male,2721646742,kamala57@example.net,Bhilai,Karnataka,295036,"58/901, Banerjee Zila, Sasaram-209125",Jeggings,Men,Soch,L,Blue,Cotton,2025-02-09,1,2308.07,0.28,1661.81,83.09,Cash on Delivery,c6e14a23-eef,BlueDart,63.44,Delivered,2025-02-16,2025-02-17,Tadipatri,Sikkim,Returned,4.3,Platinum,
fe0d0e87,f3a19ca8-6,P6825,S6,Shivansh Bajwa,42,Other,+914376591017,jairajgoyal@example.net,Indore,Nagaland,343376,"11/094, Mistry Nagar
Anantapuram 052578",Maxi Dress,Kids,Soch,M,Green,Cotton,2025-02-25,4,1621.49,0.15,5513.07,275.65,Net Banking,75f317fa-069,BlueDart,116.43,Cancelled,2025-03-04,2025-03-06,Saharsa,West Bengal,Not Returned,4.1,Gold,
18323ab0,4c2fc9bf-1,P4618,S4,Turvi Sant,30,Male,+913653473257,bhavika01@example.net,Gangtok,Tamil Nadu,332425,"H.No. 13, Prabhakar Street, Kalyan-Dombivli-969967",Churidar,Kids,Manyavar,M,Maroon,Georgette,2024-05-13,4,2893.65,0.01,11458.85,572.94,Debit Card,0cac9388-461,BlueDart,56.88,In Transit,2024-05-17,2024-05-16,Anand,Assam,Not Returned,2.3,Platinum,
612a6d00,5b1121bf-4,P2156,S5,Vivaan Jain,34,Female,+919905141665,zaid63@example.net,Thanjavur,Manipur,914648,"745, Bahri Nagar, Surat-640022",Trench Coat,Men,W,M,White,Rayon,2024-06-30,5,3240.44,0.24,12313.67,615.68,Credit Card,05289eae-0a3,India Post,135.99,Delivered,2024-07-03,2024-07-03,Srikakulam,Punjab,Returned,1.0,Silver,
28a14d9b,47c3cc7f-0,P7951,S6,Anmol Rau,64,Male,+910422342619,ravalarunima@example.org,Loni,West Bengal,005969,"78/59, Agate Road
Udupi 353210",Sherwani,Women,Utsa,L,Black,Georgette,2024-12-27,1,3144.89,0.28,2264.32,113.22,UPI,edae8392-099,Delhivery,39.59,In Transit,2025-01-03,2025-01-02,Raipur,Madhya Pradesh,Returned,2.7,Platinum,
f3fa10b5,4a68434a-7,P3534,S1,Andrew Wadhwa,43,Male,+918646550448,dtiwari@example.net,Ozhukarai,Sikkim,116723,"39, Deol Nagar, Anantapur-686995",Poncho,Kids,Biba,XS,Maroon,Chiffon,2025-03-19,3,4496.67,0.09,12275.91,613.8,UPI,11781ee3-b38,Shadowfax,104.07,In Transit,2025-03-25,2025-03-23,Chennai,Andhra Pradesh,Not Returned,1.3,Silver,
71388a26,8b4649bc-6,P2203,S1,Chandresh Minhas,34,Female,7391115662,aptewatika@example.com,Siwan,Nagaland,686822,"48
Dash Chowk
Morena 675081",Wrap Dress,Kids,Manyavar,S,White,Cotton,2024-09-20,4,2121.06,0.03,8229.71,411.49,Cash on Delivery,2ae07de3-738,Shadowfax,112.98,Cancelled,2024-09-27,2024-09-25,Tiruchirappalli,Andhra Pradesh,Returned,5.0,Bronze,
f0c1a5e3,dbdbd53a-3,P6332,S5,Lila Kadakia,34,Other,09061135770,xalakchaudhari@example.org,Bhubaneswar,Arunachal Pradesh,924444,"69/239, Desai Path, Shimla 526598",Bomber Jacket,Kids,FabIndia,L,Maroon,Chiffon,2025-02-02,2,2315.62,0.21,3658.68,182.93,Cash on Delivery,4ad7caa9-d76,Shadowfax,56.97,Cancelled,2025-02-08,2025-02-08,Gorakhpur,Karnataka,Not Returned,4.8,Bronze,
b3392a0b,1c73e0a0-d,P4120,S6,Niharika Thakkar,34,Female,+919908766118,ljani@example.net,Hospet,Tripura,075407,"71/026, Edwin Circle, Maheshtala 466983",Suits,Men,W,M,Green,Rayon,2024-12-08,4,3345.6,0.02,13114.75,655.74,Net Banking,5048aa95-8f3,Delhivery,101.7,In Transit,2024-12-15,2024-12-13,Ambattur,Meghalaya,Not Returned,1.4,Gold,
6beef4e1,162aa354-d,P8985,S9,Isaac Karnik,62,Male,+913089468868,jmurthy@example.org,Tinsukia,Uttarakhand,225737,"160
Bhagat Nagar, Kochi 238349",Sherwani,Men,Manyavar,XL,Red,Rayon,2024-09-27,1,3525.19,0.09,3207.92,160.4,Credit Card,0470b590-6fc,BlueDart,39.46,In Transit,2024-09-30,2024-09-28,Baranagar,Nagaland,Returned,3.4,Gold,
b8be14d2,7cb49cb6-b,P4083,S2,Balhaar Sathe,57,Male,+916920263717,wableunni@example.org,Warangal,Himachal Pradesh,009608,"H.No. 04
Sinha Path, Kota-313566",Tweed Coat,Men,FabIndia,S,Green,Linen,2024-04-21,3,1769.25,0.1,4776.98,238.85,Cash on Delivery,7cfee0c0-6b4,India Post,127.82,Pending,2024-04-24,2024-04-24,Chinsurah,Arunachal Pradesh,Not Returned,3.9,Silver,
26ae097f,df5bd06c-e,P9977,S10,Benjamin Gill,45,Male,02814642642,shankeranika@example.net,Srikakulam,Sikkim,064280,"31/726
Kota Street
Ongole 427385",Kameez,Kids,W,L,Green,Silk,2024-09-13,3,1705.35,0.09,4655.61,232.78,Cash on Delivery,c7bf61d5-920,Shadowfax,89.2,Delivered,2024-09-17,2024-09-19,Bidar,Jharkhand,Returned,3.5,Platinum,
a42e9c68,c44dfb65-7,P1037,S8,Karan Bhattacharyya,63,Other,4720087433,sibalchaman@example.com,Raurkela Industrial Township,Telangana,871124,"197
Sankaran Road
Bareilly 171797",Trench Coat,Women,FabIndia,XL,Red,Georgette,2024-10-16,4,805.01,0.23,2479.43,123.97,UPI,b59d209a-2bd,Ecom Express,139.04,In Transit,2024-10-21,2024-10-23,Bhubaneswar,Rajasthan,Returned,3.3,Silver,
514d3bdb,a323e5d9-4,P5332,S5,Jasmit Jain,42,Female,5596088189,qlall@example.net,Farrukhabad,Haryana,669155,"70/870
Pandey Marg
Nellore-040234",Denim Jacket,Women,Biba,L,White,Cotton,2025-02-24,4,935.72,0.28,2694.87,134.74,Cash on Delivery,de4e703d-0b0,BlueDart,80.63,Cancelled,2025-02-27,2025-02-25,Mau,Tripura,Returned,3.1,Silver,
d970a403,d1b95535-0,P2912,S9,Krisha Wali,49,Male,8149129486,saxenahenry@example.com,Asansol,Odisha,451416,"H.No. 103
Saxena Road, Bilaspur 521724",Choli,Kids,Utsa,XS,Yellow,Silk,2024-08-17,2,4915.46,0.18,8061.35,403.07,Debit Card,dfb280bd-a51,BlueDart,79.44,Cancelled,2024-08-23,2024-08-23,Nellore,Uttar Pradesh,Returned,3.0,Platinum,
c13fab2c,c11100f3-f,P5264,S1,Mugdha Borra,45,Other,+916338589463,thakkarpriya@example.net,Arrah,Maharashtra,908273,"09, Naidu Road, Patiala 891973",Midi Dress,Men,FabIndia,XS,Red,Cotton,2024-05-04,4,4349.01,0.22,13568.91,678.45,Cash on Delivery,a83605f5-516,India Post,83.06,Pending,2024-05-07,2024-05-07,Pondicherry,Punjab,Not Returned,2.1,Gold,
b6fdf73e,0c740b78-f,P9478,S1,Dayamai Patla,20,Other,08764962197,yhans@example.org,Ghaziabad,Rajasthan,666902,"50/43, Dar Chowk, Howrah-367551",Jumpsuit,Men,Utsa,XL,Blue,Linen,2024-07-29,5,3972.3,0.05,18868.42,943.42,Cash on Delivery,e0c38cac-2c0,Shadowfax,143.57,Delivered,2024-08-01,2024-07-30,Kulti,Punjab,Not Returned,2.6,Gold,
